行号,总 Token 数
1132,3755
1133,3956
1134,3804
1135,3685
1136,4123
1137,3754
1138,4158
1139,3941
1140,3936
1141,3421
1142,3202
1143,3419
1144,3377
1145,3675
1146,3374
1147,3428
1148,545
1149,5588
1150,615
1151,2223
1152,4747
1153,4626
1154,4017
1155,3588
1156,3992
1157,3723
1158,3480
1159,3363
1160,1085
1161,5833
1162,4360
1163,1344
1164,591
1165,16177
1166,3662
1167,4908
1168,12430
1169,13095
1170,18861
1171,31535
1172,2040
1173,4062
1174,4394
1175,4552
1176,4668
1177,4879
1178,2624
1179,6535
1180,2064
1181,497
1182,39702
1183,13348
1184,10423
1185,3690
1186,1198
1187,20803
1188,5092
1189,3831
1190,3580
1191,3709
1192,3805
1193,3809
1194,3917
1195,3823
1196,3731
1197,1256
1198,495
1199,362
1200,339
1201,3654
1202,3859
1203,3633
1204,3725
1205,3855
1206,3439
1207,3387
1208,3697
1209,3715
1210,4886
1211,4146
1212,3897
1213,3996
1214,3803
1215,3883
1216,3669
1217,4196
1218,3707
1219,3969
1220,3665
1221,4042
1222,4013
1223,4088
1224,3965
1225,3847
1226,3790
1227,3862
1228,4145
1229,3765
1230,4052
1231,3867
1232,3913
1233,3961
1234,4085
1235,4079
1236,4094
1237,3852
1238,4053
1239,3845
1240,4100
1241,4328
1242,3843
1243,4223
1244,4111
1245,3903
1246,3891
1247,4107
1248,3915
1249,3945
1250,3891
1251,3953
1252,4073
1253,3745
1254,4053
1255,3863
1256,3957
1257,4263
1258,4031
1259,3924
1260,3845
1261,4182
1262,4092
1263,3867
1264,3883
1265,4087
1266,3542
1267,3957
1268,4003
1269,3826
1270,3907
1271,3964
1272,3845
1273,3667
1274,4171
1275,3863
1276,4195
1277,4054
1278,4671
1279,4410
1280,4762
1281,4119
1282,3925
1283,3627
1284,3697
1285,3906
1286,3604
1287,3802
1288,3529
1289,3913
1290,3872
1291,4326
1292,3929
1293,3693
1294,3795
1295,3831
1296,3647
1297,3951
1298,3657
1299,3946
1300,3824
1301,3826
1302,3823
1303,3880
1304,3861
1305,3697
1306,3777
1307,3841
1308,3898
1309,3692
1310,3801
1311,3843
1312,4121
1313,3749
1314,3948
1315,3600
1316,3505
1317,3623
1318,3673
1319,3682
1320,3561
1321,3625
1322,4162
1323,3788
1324,3663
1325,3728
1326,3622
1327,3601
1328,3550
1329,3647
1330,3781
1331,3631
1332,3994
1333,3738
1334,3915
1335,3671
1336,3635
1337,3650
1338,3624
1339,3615
1340,3543
1341,3429
1342,3427
1343,3601
1344,3430
1345,3697
1346,3620
1347,3426
1348,572
1349,6031
1350,3883
1351,898
1352,4385
1353,3898
1354,3468
1355,3379
1356,3928
1357,3756
1358,3389
1359,3387
1360,2644
1361,627
1362,16002
1363,10834
1364,4279
1365,4040
1366,4798
1367,4132
1368,1915
1369,932
1370,15186
1371,4014
1372,43178
1373,14114
1374,6889
1375,5298
1376,4590
1377,4236
1378,14523
1379,20273
1380,3791
1381,3765
1382,3665
1383,3655
1384,3724
1385,3036
1386,1888
1387,9416
1388,3432
1389,1677
1390,1826
1391,28021
1392,2801439
1393,10251
1394,3807
1395,3652
1396,3850
1397,4114
1398,3833
1399,3714
1400,3893
1401,3925
1402,4117
1403,3538
1404,3841
1405,3942
1406,3789
1407,3862
1408,3549
1409,3663
1410,3623
1411,3706
1412,3695
1413,3806
1414,4079
1415,3667
1416,3810
1417,3580
1418,3803
1419,3658
1420,3934
1421,3770
1422,4652
1423,3661
1424,3999
1425,3926
1426,3794
1427,2754
1428,6244
1429,4053
1430,3916
1431,4367
1432,3935
1433,3539
1434,3615
1435,3655
1436,3442
1437,3582
1438,3847
1439,3663
1440,3740
1441,1158
1442,378
1443,10597
1444,3304
1445,2869
1446,2077
1447,218329
1448,13467
1449,2850
1450,10198
1451,8967
1452,15663
1453,160776
1454,10565
1455,7979
1456,9072
1457,10413
1458,12704
1459,15263
1460,15861
1461,16706
1462,21724
1463,19630
1464,9239
1465,9084
1466,11618
1467,13792
1468,16884
1469,5068
1470,4229
1471,4013
1472,4258
1473,4740
1474,4171
1475,4011
1476,4055
1477,4035
1478,4415
1479,4682
1480,4278
1481,4626
1482,4346
1483,4186
1484,3994
1485,4109
1486,4002
1487,3709
1488,3662
1489,3892
1490,3980
1491,3884
1492,3788
1493,4194
1494,2396
1495,20476
1496,7488
1497,4097
1498,4217
1499,4189
1500,4197
1501,4092
1502,3695
1503,3621
1504,3891
1505,4327
1506,4286
1507,4002
1508,3293
1509,3324
1510,3529
1511,3264
1512,2832
1513,8911
1514,3590
1515,17427
1516,31301
1517,9097
1518,5929
1519,3503
1520,5144
1521,3590
1522,3566
1523,3501
1524,3681
1525,2968
1526,3207
1527,3176
1528,3082
1529,3007
1530,2965
1531,2949
1532,3049
1533,3101
1534,2931
1535,3360
1536,3449
1537,3001
1538,2921
1539,2903
1540,3097
1541,3024
1542,2934
1543,2947
1544,3245
1545,2981
1546,3128
1547,3211
1548,3077
1549,3107
1550,3081
1551,3097
1552,3167
1553,3125
1554,2955
1555,3084
1556,3294
1557,2984
1558,2951
1559,3417
1560,3215
1561,3079
1562,3060
1563,2936
1564,3050
1565,3085
1566,3049
1567,3035
1568,3473
1569,3137
1570,3021
1571,2965
1572,2981
1573,2963
1574,2889
1575,3074
1576,3137
1577,3043
1578,3447
1579,3096
1580,3085
1581,3219
1582,2959
1583,3212
1584,3221
1585,3162
1586,3225
1587,3009
1588,3157
1589,2995
1590,3056
1591,2919
1592,897
1593,2238
1594,377
1595,2751
1596,1085
1597,3829
1598,3750
1599,3712
1600,3591
1601,3720
1602,3246
1603,3116
1604,1233
1605,32678
1606,8203
1607,996
1608,33649
1609,23002
1610,11256
1611,3794
1612,4538
1613,4031
1614,3803
1615,4746
1616,3531
1617,4240
1618,4329
1619,3806
1620,4820
1621,3468
1622,4032
1623,4144
1624,4076
1625,3243
1626,3621
1627,4197
1628,4200
1629,3164
1630,3133
1631,1025
1632,876
1633,5771
1634,10395
1635,9879
1636,9590
1637,4175
1638,4112
1639,3889
1640,4279
1641,4005
1642,3830
1643,3998
1644,4412
1645,4046
1646,3769
1647,4153
1648,3655
1649,3969
1650,4130
1651,4050
1652,3454
1653,589
1654,11970
1655,4203
1656,6301
1657,8163
1658,30302
1659,30377
1660,3091
1661,3400
1662,4707
1663,4146
1664,4147
1665,3248
1666,3672
1667,3675
1668,3377
1669,3728
1670,3775
1671,3429
1672,3618
1673,3534
1674,3351
1675,3413
1676,2189
1677,6703
1678,3153
1679,3157
1680,751
1681,1507
1682,2767
1683,5556
1684,4260
1685,3017
1686,3337
1687,3309
1688,3347
1689,2963
1690,3243
1691,3025
1692,3271
1693,2879
1694,2761
1695,3115
1696,2925
1697,3159
1698,3574
1699,4288
1700,4404
1701,4196
1702,670
1703,36406
1704,3364
1705,4280
1706,3883
1707,1186
1708,35359
1709,13753
1710,13594
1711,14405
1712,7593
